Name,WC,Ros,PKT,OPT-HPU,TDT
cit-Patents,0.384,0.39,0.378,0.139482,0.009197
rgg-n-2-24-s0,5.667,5.437,5.491,0.472836,0.428678
mawi4,1.067,0.811,0.935926,8.353613,0.005797
soc-sinaweibo,19.463,20.052,19.259,1.987503,0.267835
wikipedia,36.794,37.744,36.56185,3.387029,1.006556
