N,CW,SO,WCP,WP,UK
1,19.65693,8.177391529083,352.3446,29.9287002086639,217.430520772933
2,17.08011,8.0952336788177,224.505923986434,27.0921802520751,206.661214351654
3,16.75008,8.486343,198.660026788711,27.2133276462554,206.991214351654
4,16.80958,8.9197678565979,252.3446,30,223
